Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time (mins),Rank,Genre,combined_text,cleaned_text,KMeans_Cluster,DBSCAN_Cluster,HDBSCAN_Cluster
How to Win Friends and Influence People,Dale Carnegie,4.5,21000,668,"How to Win Friends and Influence People is a self-help book which is the pioneer of this genre. Written by Dale Carnegie and published in 1936, it has sold over 30 million copies. It has been edited and re-printed several times. ",485.0,18,Personal Development & Self-Help,"How to Win Friends and Influence People How to Win Friends and Influence People is a self-help book which is the pioneer of this genre. Written by Dale Carnegie and published in 1936, it has sold over 30 million copies. It has been edited and re-printed several times. ",win friend influence people win friend influence people selfhelp book pioneer genre written dale carnegie published sold million copy edited reprinted several time,0,2,10
"Thinking, Fast and Slow",Daniel Kahneman,4.4,9865,1093,Brought to you by Penguin.,1201.0,13,Personal Success,"Thinking, Fast and Slow Brought to you by Penguin.",thinking fast slow brought penguin,0,1,20
Sherlock Holmes: The Definitive Collection,Arthur Conan Doyle,5.0,6,3037,"Now updated to include Chapter Name Information, so you can easily find your favourite story or novel",4317.0,15,"Crime, Thriller & Mystery","Sherlock Holmes: The Definitive Collection Now updated to include Chapter Name Information, so you can easily find your favourite story or novel",sherlock holmes definitive collection updated include chapter name information easily find favourite story novel,0,9,7
Becoming,Michelle Obama,4.6,13941,1093,Penguin presents the audiobook edition of Becoming by Michelle Obama.,1143.0,12,Biographies & Autobiographies,Becoming Penguin presents the audiobook edition of Becoming by Michelle Obama.,becoming penguin present audiobook edition becoming michelle obama,0,10,-1
Just Do It: The Nike Spirit in the Corporate World,Donald Katz,4.0,38,0,"The protagonist of Just Do It is Phil Knight, a reclusive billionaire who started a two-man operation importing Japanese running shoes and built it into a $4 billion company. Irreverent, unpredictable, and leery of the sports establishment, Knight created the most muscular jock culture in business, a place where employees routinely took two hours at lunch to work out and then strategized late into the night in their holy war against competitors Reebok and Adidas. To outsiders, Nike was a cult. Insiders believed they were furthering the company's mission: to improve the performance of serious athletes. ",840.0,3,Biographies of Actors,"Just Do It: The Nike Spirit in the Corporate World The protagonist of Just Do It is Phil Knight, a reclusive billionaire who started a two-man operation importing Japanese running shoes and built it into a $4 billion company. Irreverent, unpredictable, and leery of the sports establishment, Knight created the most muscular jock culture in business, a place where employees routinely took two hours at lunch to work out and then strategized late into the night in their holy war against competitors Reebok and Adidas. To outsiders, Nike was a cult. Insiders believed they were furthering the company's mission: to improve the performance of serious athletes. ",nike spirit corporate world protagonist phil knight reclusive billionaire started twoman operation importing japanese running shoe built billion company irreverent unpredictable leery sport establishment knight created muscular jock culture business place employee routinely took two hour lunch work strategized late night holy war competitor reebok adidas outsider nike cult insider believed furthering company mission improve performance serious athlete,0,3,-1
The Warren Buffett Way: 3rd Edition,Robert Hagstrom,4.2,72,1005,"Warren Buffett remains one of the most sought-after and watched figures in business today. He has become a billionaire and investment sage by buying chunks of companies and holding onto them, managing them as businesses, and eventually reaping huge profits for himself and investors in Berkshire Hathaway. The first two editions of The Warren Buffett Way gave investors their first in-depth look at the innovative investment and business strategies behind the spectacular success of living legend Warren E. Buffett. Tracing Warren Buffett's career from the beginning, Hagstrom told listeners exactly how, starting with an initial investment of only $100 Buffett built a business empire and has an estimated net worth of $44 billion. The Third Edition of The Warren Buffett Way will focus on the timeless principles and strategies behind Buffett's extraordinary investment success. There will be new chapters on the important distinctions between investment and trading and an examination of the most successful disciples of Warren Buffett. Some less important material will be deleted and the overall focus will be to create an edition that will stand the test of time, distilling Buffett's success formula in a way that will provide value to listeners for decades to come.",631.0,17,Personal Finance,"The Warren Buffett Way: 3rd Edition Warren Buffett remains one of the most sought-after and watched figures in business today. He has become a billionaire and investment sage by buying chunks of companies and holding onto them, managing them as businesses, and eventually reaping huge profits for himself and investors in Berkshire Hathaway. The first two editions of The Warren Buffett Way gave investors their first in-depth look at the innovative investment and business strategies behind the spectacular success of living legend Warren E. Buffett. Tracing Warren Buffett's career from the beginning, Hagstrom told listeners exactly how, starting with an initial investment of only $100 Buffett built a business empire and has an estimated net worth of $44 billion. The Third Edition of The Warren Buffett Way will focus on the timeless principles and strategies behind Buffett's extraordinary investment success. There will be new chapters on the important distinctions between investment and trading and an examination of the most successful disciples of Warren Buffett. Some less important material will be deleted and the overall focus will be to create an edition that will stand the test of time, distilling Buffett's success formula in a way that will provide value to listeners for decades to come.",warren buffett way edition warren buffett remains one soughtafter watched figure business today become billionaire investment sage buying chunk company holding onto managing business eventually reaping huge profit investor berkshire hathaway first two edition warren buffett way gave investor first indepth look innovative investment business strategy behind spectacular success living legend warren buffett tracing warren buffetts career beginning hagstrom told listener exactly starting initial investment buffett built business empire estimated net worth billion third edition warren buffett way focus timeless principle strategy behind buffetts extraordinary investment success new chapter important distinction investment trading examination successful disciple warren buffett le important material deleted overall focus create edition stand test time distilling buffetts success formula way provide value listener decade come,0,11,6
21 Lessons for the 21st Century,Yuval Noah Harari,4.4,2836,1093,Brought to you by Penguin.,701.0,14,Political Theory,21 Lessons for the 21st Century Brought to you by Penguin.,lesson century brought penguin,0,3,96
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,4.6,952,10378,Secrets of the Millionaire Mind reveals the missing link between wanting success and achieving it! ,310.0,21,Investing & Trading,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth Secrets of the Millionaire Mind reveals the missing link between wanting success and achieving it! ,secret millionaire mind mastering inner game wealth secret millionaire mind reveals missing link wanting success achieving,0,12,-1
"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",Monika Halan,4.4,419,668,"We work hard to earn our money. But regardless of how much we earn, the money worry never goes away. Bills, rent, EMIs, medical costs, vacations, kids' education and, somewhere at the back of the head, the niggling thought about being under-prepared for our own retirement. ",356.0,19,Personal Development & Self-Help,"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You We work hard to earn our money. But regardless of how much we earn, the money worry never goes away. Bills, rent, EMIs, medical costs, vacations, kids' education and, somewhere at the back of the head, the niggling thought about being under-prepared for our own retirement. ",let talk money youve worked hard make work work hard earn money regardless much earn money worry never go away bill rent emis medical cost vacation kid education somewhere back head niggling thought underprepared retirement,0,2,10
Elon Musk,Ashlee Vance,4.5,6491,888,Brought to you by Penguin.,803.0,23,Biographies of Business Leaders,Elon Musk Brought to you by Penguin.,elon musk brought penguin,0,3,96
The Monk Who Sold His Ferrari,Robin Sharma,4.6,7585,351,"Author Robin Sharma reads this international best-seller, allowing you to gain the wisdom and lessons from the original book while you commute. This abridged audiobook is one of Sharma Leadership International's all-time best-selling audio products.",160.0,22,Spirituality,"The Monk Who Sold His Ferrari Author Robin Sharma reads this international best-seller, allowing you to gain the wisdom and lessons from the original book while you commute. This abridged audiobook is one of Sharma Leadership International's all-time best-selling audio products.",monk sold ferrari author robin sharma read international bestseller allowing gain wisdom lesson original book commute abridged audiobook one sharma leadership international alltime bestselling audio product,0,13,9
The Power of Your Subconscious Mind,Joseph Murphy,4.5,18381,99,"""The Power of Your Subconscious Mind"" will open a world of success, happiness, prosperity, and peace for you. It is one of the most brilliant and beloved spiritual self-help works of all time which can help you heal yourself, banish your fears, sleep better, enjoy better relationships and just feel happier. The techniques are simple and results come quickly. You can improve your relationships, your finances, your physical well-being.",433.0,30,"Mind, Body & Spirit","The Power of Your Subconscious Mind ""The Power of Your Subconscious Mind"" will open a world of success, happiness, prosperity, and peace for you. It is one of the most brilliant and beloved spiritual self-help works of all time which can help you heal yourself, banish your fears, sleep better, enjoy better relationships and just feel happier. The techniques are simple and results come quickly. You can improve your relationships, your finances, your physical well-being.",power subconscious mind power subconscious mind open world success happiness prosperity peace one brilliant beloved spiritual selfhelp work time help heal banish fear sleep better enjoy better relationship feel happier technique simple result come quickly improve relationship finance physical wellbeing,0,14,4
Raavan: Enemy of Aryavarta,Amish Tripathi,4.5,4483,836,"Without the darkness, light has no purpose. ",692.0,39,Fantasy,"Raavan: Enemy of Aryavarta Without the darkness, light has no purpose. ",raavan enemy aryavarta without darkness light purpose,2,8,0
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.5,6733,888,Brought to you by Penguin.,653.0,24,Personal Success,"The Power of Habit: Why We Do What We Do, and How to Change Brought to you by Penguin.",power habit change brought penguin,0,1,20
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,11336,836,"For David Goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a US Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training as a Navy SEAL, Army Ranger, and Air Force Tactical Air Controller, he went on to set records in numerous endurance events, inspiring Outside magazine to name him The Fittest (Real) Man in America. ",817.0,35,Biographies & Autobiographies,"Can't Hurt Me: Master Your Mind and Defy the Odds For David Goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a US Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training as a Navy SEAL, Army Ranger, and Air Force Tactical Air Controller, he went on to set records in numerous endurance events, inspiring Outside magazine to name him The Fittest (Real) Man in America. ",cant hurt master mind defy odds david goggins childhood nightmare poverty prejudice physical abuse colored day haunted night selfdiscipline mental toughness hard work goggins transformed depressed overweight young man future armed force icon one world top endurance athlete man history complete elite training navy seal army ranger air force tactical air controller went set record numerous endurance event inspiring outside magazine name fittest real man america,0,10,59
Zero to One,Peter Thiel,4.4,5331,615,"What valuable company is nobody building? The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won't make a search engine. If you are copying these guys, you aren't learning from them. It's easier to copy a model than to make something new: doing what we already know how to do takes the world from 1 to 10, adding more of something familiar. ",290.0,25,Organisational Behaviour,"Zero to One What valuable company is nobody building? The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won't make a search engine. If you are copying these guys, you aren't learning from them. It's easier to copy a model than to make something new: doing what we already know how to do takes the world from 1 to 10, adding more of something familiar. ",zero one valuable company nobody building next bill gate build operating system next larry page sergey brin wont make search engine copying guy arent learning easier copy model make something new already know take world adding something familiar,0,15,80
My Gita,Devdutt Pattanaik,4.2,1244,501,"In My Gita, acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita for the contemporary reader. His unique approach - thematic rather than verse by verse - makes the ancient treatise eminently accessible. ",375.0,26,Theology & Philosophy of Religion,"My Gita In My Gita, acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita for the contemporary reader. His unique approach - thematic rather than verse by verse - makes the ancient treatise eminently accessible. ",gita gita acclaimed mythologist devdutt pattanaik demystifies bhagavad gita contemporary reader unique approach thematic rather verse verse make ancient treatise eminently accessible,1,16,2
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,4.7,11978,999,"""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'."" ",573.0,29,Fiction on Friendship for Children,"Harry Potter and the Philosopher's Stone, Book 1 ""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'."" ",harry potter philosopher stone book turning envelope hand trembling harry saw purple wax seal bearing coat arm lion eagle badger snake surrounding large letter,0,17,-1
Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,4.7,6521,888,Brought to you by Penguin.,487.0,37,Forecasting & Strategic Planning,Never Split the Difference: Negotiating as if Your Life Depended on It Brought to you by Penguin.,never split difference negotiating life depended brought penguin,0,18,52
Chanakya Neeti,Acharya Chanakya,4.4,92,668,"Chanakya was an Indian teacher, philosopher, and royal advisor. He managed the first Maurya emperor Chandragupta’s rise to power at a young age. He is widely credited for having played an important role in the establishment of the Maurya Empire, which was the first empire in archaeologically recorded history to rule most of the Indian subcontinent.",302.0,28,Biographies & Autobiographies,"Chanakya Neeti Chanakya was an Indian teacher, philosopher, and royal advisor. He managed the first Maurya emperor Chandragupta’s rise to power at a young age. He is widely credited for having played an important role in the establishment of the Maurya Empire, which was the first empire in archaeologically recorded history to rule most of the Indian subcontinent.",chanakya neeti chanakya indian teacher philosopher royal advisor managed first maurya emperor chandraguptas rise power young age widely credited played important role establishment maurya empire first empire archaeologically recorded history rule indian subcontinent,0,10,59
The Rudest Book Ever: Insanely Practical Ideas to Free Your Mind from All Bulls--t,Shwetabh Gangwar,4.5,2079,501,"Shwetabh Gangwar is a professional problem-solver - and he’s ace at it. For the past five years, people from all over the world have contacted him with their troubles, and he’s worked these out for them.",291.0,44,Personal Development & Self-Help,"The Rudest Book Ever: Insanely Practical Ideas to Free Your Mind from All Bulls--t Shwetabh Gangwar is a professional problem-solver - and he’s ace at it. For the past five years, people from all over the world have contacted him with their troubles, and he’s worked these out for them.",rudest book ever insanely practical idea free mind bullst shwetabh gangwar professional problemsolver he ace past five year people world contacted trouble he worked,0,2,10
Start with Why: How Great Leaders Inspire Everyone to Take Action (Int'l Edit.),Simon Sinek,4.5,3858,820,"Why are some people and organizations more innovative, more influential, and more profitable than others? Why do some command greater loyalty from customers and employees alike? Even among the successful, why are so few able to repeat their successes over and over? ",432.0,53,Entrepreneurship,"Start with Why: How Great Leaders Inspire Everyone to Take Action (Int'l Edit.) Why are some people and organizations more innovative, more influential, and more profitable than others? Why do some command greater loyalty from customers and employees alike? Even among the successful, why are so few able to repeat their successes over and over? ",start great leader inspire everyone take action intl edit people organization innovative influential profitable others command greater loyalty customer employee alike even among successful able repeat success,0,19,12
The Tatas: How a Family Built a Business and a Nation,Girish Kuber,4.4,53,668,Winner of the Gaja Capital Business Book Prize 2019,581.0,34,Biographies & Autobiographies,The Tatas: How a Family Built a Business and a Nation Winner of the Gaja Capital Business Book Prize 2019,tatas family built business nation winner gaja capital business book prize,0,10,59
Hyperfocus,Chris Bailey,4.5,157,323,"Our attention has never been as overwhelmed or in demand as it is today; we've never been so busy while accomplishing so little, and we've grown uncomfortable with boredom and a lack of stimulation and distraction.",399.0,31,Time Management & Productivity,"Hyperfocus Our attention has never been as overwhelmed or in demand as it is today; we've never been so busy while accomplishing so little, and we've grown uncomfortable with boredom and a lack of stimulation and distraction.",hyperfocus attention never overwhelmed demand today weve never busy accomplishing little weve grown uncomfortable boredom lack stimulation distraction,0,3,101
"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,4.7,2434,750,An instant New York Times best seller and number one Wall Street Journal best seller,777.0,36,Personal Success,"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life An instant New York Times best seller and number one Wall Street Journal best seller",limitless upgrade brain learn anything faster unlock exceptional life instant new york time best seller number one wall street journal best seller,0,1,20
Meri Gita,Devdutt Pattanaik,4.2,129,668,"In Meri Gita, acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita for the contemporary listener. His unique approach - thematic rather than verse-by-verse - makes the ancient treatise eminently accessible.In a world that seems spellbound by argument over dialogue, vi-vaad over sam-vaad, Devdutt highlights how Krishna nudges Arjuna to understand rather than judge his relationships. This becomes relevant today when we are increasingly indulging and isolating the self (self-improvement, self-actualization, self-realization - even selfies!) We forget that we live in an ecosystem of others, where we can nourish each other with food, love and meaning, even when we fight. ",459.0,40,Christianity,"Meri Gita In Meri Gita, acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita for the contemporary listener. His unique approach - thematic rather than verse-by-verse - makes the ancient treatise eminently accessible.In a world that seems spellbound by argument over dialogue, vi-vaad over sam-vaad, Devdutt highlights how Krishna nudges Arjuna to understand rather than judge his relationships. This becomes relevant today when we are increasingly indulging and isolating the self (self-improvement, self-actualization, self-realization - even selfies!) We forget that we live in an ecosystem of others, where we can nourish each other with food, love and meaning, even when we fight. ",meri gita meri gita acclaimed mythologist devdutt pattanaik demystifies bhagavad gita contemporary listener unique approach thematic rather versebyverse make ancient treatise eminently accessiblein world seems spellbound argument dialogue vivaad samvaad devdutt highlight krishna nudge arjuna understand rather judge relationship becomes relevant today increasingly indulging isolating self selfimprovement selfactualization selfrealization even selfies forget live ecosystem others nourish food love meaning even fight,0,20,15
The Unusual Billionaires,Saurabh Mukherjea,4.4,288,1005,What makes a company truly outstanding?,552.0,20,Essays,The Unusual Billionaires What makes a company truly outstanding?,unusual billionaire make company truly outstanding,0,21,39
To Kill a Mockingbird,Harper Lee,4.5,20053,888,Brought to you by Penguin. ,485.5,3,Personal Success,To Kill a Mockingbird Brought to you by Penguin. ,kill mockingbird brought penguin,0,1,20
A Space of Her Own: Personal Narratives of Twelve Women,Leela Gulati,3.4,9,0,"Focusing on relationships between women of different generations in India, this book is comprised of narratives demonstrating how each contributor established her own personhood through engagement with a wider kin group.",671.0,4,Sociology,"A Space of Her Own: Personal Narratives of Twelve Women Focusing on relationships between women of different generations in India, this book is comprised of narratives demonstrating how each contributor established her own personhood through engagement with a wider kin group.",space personal narrative twelve woman focusing relationship woman different generation india book comprised narrative demonstrating contributor established personhood engagement wider kin group,0,22,32
The Tales of Beedle the Bard,J.K. Rowling,4.6,3712,652,"Written by J.K. Rowling. Read by Sally Mortemore, Warwick Davis, Evanna Lynch, Jason Isaacs, Bonnie Wright, Noma Dumezweni and Jude Law.",95.0,55,Fairy Tale Collections & Anthologies for Children,"The Tales of Beedle the Bard Written by J.K. Rowling. Read by Sally Mortemore, Warwick Davis, Evanna Lynch, Jason Isaacs, Bonnie Wright, Noma Dumezweni and Jude Law.",tale beedle bard written rowling read sally mortemore warwick davis evanna lynch jason isaac bonnie wright noma dumezweni jude law,0,3,101
No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,4.1,12,888,"Hard work is irrelevant. Be radically honest. Adequate performance gets a generous severance. And never, ever try to please your boss. These are some of the ground rules if you work at Netflix. They are part of a unique cultural experiment that explains how the company has transformed itself at lightning speed from a DVD mail-order service into a streaming superpower - with 125 million fervent subscribers and a market capitalisation bigger than Disney.",582.0,27,Analysis & Strategy,"No Rules Rules: Netflix and the Culture of Reinvention Hard work is irrelevant. Be radically honest. Adequate performance gets a generous severance. And never, ever try to please your boss. These are some of the ground rules if you work at Netflix. They are part of a unique cultural experiment that explains how the company has transformed itself at lightning speed from a DVD mail-order service into a streaming superpower - with 125 million fervent subscribers and a market capitalisation bigger than Disney.",rule rule netflix culture reinvention hard work irrelevant radically honest adequate performance get generous severance never ever try please bos ground rule work netflix part unique cultural experiment explains company transformed lightning speed dvd mailorder service streaming superpower million fervent subscriber market capitalisation bigger disney,0,4,21
Think and Grow Rich,Napoleon Hill,4.5,22448,166,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",615.0,38,Economics Books,"Think and Grow Rich 
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",think grow rich completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,0,3,89
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,4.5,5339,1093,Brought to you by Penguin.,893.0,47,History,Homo Deus: A Brief History of Tomorrow Brought to you by Penguin.,homo deus brief history tomorrow brought penguin,0,23,22
Inglorious Empire: What the British Did to India,Shashi Tharoor,4.5,304,752,"Penguin presents the audiobook edition of Inglorious Empire, written and read by Shashi Tharoor. ",633.0,33,Colonialism & Post-Colonialism,"Inglorious Empire: What the British Did to India Penguin presents the audiobook edition of Inglorious Empire, written and read by Shashi Tharoor. ",inglorious empire british india penguin present audiobook edition inglorious empire written read shashi tharoor,0,3,99
Hitchhiker's Guide to the Galaxy,Douglas Adams,4.5,2473,323,"A much loved science-fiction classic, this entertaining intergalactic adventure has a lot going for it - including narration by British comedian Stephen Fry. Adams displays his talents for a creating a whole new world in this first of five audiobooks in the Hitchhiker's Guide to the Galaxy series. Packed with brilliant humour, extraordinary characters and a highly original storyline, it's no wonder that this novel is a favourite of so many. ",485.5,3,Cinema & Broadcast,"Hitchhiker's Guide to the Galaxy A much loved science-fiction classic, this entertaining intergalactic adventure has a lot going for it - including narration by British comedian Stephen Fry. Adams displays his talents for a creating a whole new world in this first of five audiobooks in the Hitchhiker's Guide to the Galaxy series. Packed with brilliant humour, extraordinary characters and a highly original storyline, it's no wonder that this novel is a favourite of so many. ",hitchhiker guide galaxy much loved sciencefiction classic entertaining intergalactic adventure lot going including narration british comedian stephen fry adam display talent creating whole new world first five audiobooks hitchhiker guide galaxy series packed brilliant humour extraordinary character highly original storyline wonder novel favourite many,0,-1,-1
